Time,PM1 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),TSP (µg/m³),8PC0.3 (/L),8PC0.5 (/L),8PC0.7 (/L),8PC1.0 (/L),8PC2.0 (/L),8PC3.0 (/L),8PC5.0 (/L),8PC10 (/L),Battery voltage (V),Inlet,Year,Month,Day of Year,Week of Year,Day of Week
2023-08-28 00:30:00,0.2918644067796611,0.6155932203389829,1.3333898305084746,2.0640677966101695,1373.1864406779662,265.6271186440678,121.69491525423729,83.71186440677967,46.57627118644068,10.627118644067796,3.0,0.22033898305084745,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 01:30:00,0.2390000000000002,0.4659999999999999,0.9688333333333331,1.6390000000000002,1124.2333333333333,203.25,87.35,57.86666666666667,31.85,7.5,2.1333333333333333,0.23333333333333334,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 02:30:00,0.6383333333333334,2.0516666666666667,5.354333333333332,9.568833333333334,2631.9,980.05,523.8333333333334,371.6666666666667,209.9,49.6,13.85,1.4666666666666666,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 03:30:00,0.42433333333333323,0.7561666666666668,1.4135000000000002,2.4671666666666665,1921.4666666666667,351.0833333333333,130.43333333333334,83.15,43.416666666666664,10.183333333333334,2.716666666666667,0.36666666666666664,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 04:30:00,0.8096666666666665,1.2394999999999996,1.9658333333333333,2.6845,3673.35,579.6333333333333,168.38333333333333,104.38333333333334,52.45,10.55,2.783333333333333,0.25,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 05:30:00,0.6084999999999999,1.2935,2.405499999999999,3.4114999999999993,2630.383333333333,619.4833333333333,258.45,169.46666666666667,84.86666666666666,16.183333333333334,4.016666666666667,0.35,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 06:30:00,0.8334999999999997,3.038666666666666,6.778,8.262333333333334,3293.366666666667,1444.95,796.8166666666667,559.6333333333333,299.28333333333336,55.65,11.816666666666666,0.5166666666666667,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 07:30:00,3.4515000000000002,9.88866666666667,23.019500000000004,33.747666666666674,14512.9,4678.566666666667,2350.9166666666665,1674.7,940.3666666666667,203.2,46.63333333333333,3.7333333333333334,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 08:30:00,1.7096666666666671,5.361666666666667,13.897500000000008,23.28466666666667,6739.316666666667,2663.35,1367.55,958.5333333333333,536.4,129.53333333333333,35.05,3.2666666666666666,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 09:30:00,1.1651666666666667,3.3846666666666683,7.438833333333335,10.647333333333334,4562.216666666666,1693.9666666666667,826.4166666666666,560.2333333333333,297.75,60.13333333333333,14.666666666666666,1.1166666666666667,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 10:30:00,1.4313333333333325,4.416166666666666,9.655500000000002,14.779333333333334,5247.2,2288.75,1112.0333333333333,751.5833333333334,394.95,79.18333333333334,18.616666666666667,1.7833333333333334,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 11:30:00,0.9860000000000001,2.521500000000002,5.357666666666666,7.511999999999998,4062.0833333333335,1239.1666666666667,574.1833333333333,386.2,206.2,41.61666666666667,10.4,0.75,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 12:30:00,0.796,1.9949999999999999,4.225333333333333,6.3805,3119.4166666666665,1029.6666666666667,452.95,301.6333333333333,160.01666666666668,33.46666666666667,8.3,0.75,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 13:30:00,0.5678333333333333,1.2208333333333334,2.579,3.6801666666666666,2416.7,601.3666666666667,249.13333333333333,166.86666666666667,91.26666666666667,21.133333333333333,5.033333333333333,0.38333333333333336,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 14:30:00,0.47383333333333333,0.9716666666666666,2.0035000000000003,3.2486666666666646,2106.8333333333335,454.65,189.06666666666666,126.93333333333334,69.15,15.716666666666667,4.1,0.43333333333333335,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 15:30:00,0.43966666666666665,0.9256666666666663,1.9858333333333333,3.0391666666666666,1933.9166666666667,440.8833333333333,185.2,124.83333333333333,69.21666666666667,16.5,4.1,0.36666666666666664,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 16:30:00,0.5343333333333332,1.1176666666666664,2.616666666666667,4.245500000000001,2340.383333333333,535.7666666666667,224.43333333333334,153.98333333333332,87.73333333333333,23.016666666666666,6.35,0.5666666666666667,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 17:30:00,0.9446666666666669,1.9038333333333335,4.747166666666666,8.2905,4280.75,883.2666666666667,371.3,258.8,152.15,43.1,12.95,1.2333333333333334,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 18:30:00,1.9004999999999996,5.3376666666666654,13.306166666666668,19.43583333333334,6998.266666666666,2833.75,1290.1166666666666,899.75,514.05,122.65,30.6,2.1333333333333333,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
2023-08-28 19:30:00,1.793833333333334,2.1778333333333326,3.1370000000000005,4.190499999999999,10805.233333333334,307.3666666666667,144.28333333333333,101.83333333333333,58.2,14.583333333333334,4.016666666666667,0.36666666666666664,0.0,Sample,2023.0,8.0,240.0,35.0,0.0
