Time,PM1 (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),TSP (µg/m³),8PC0.3 (/L),8PC0.5 (/L),8PC0.7 (/L),8PC1.0 (/L),8PC2.0 (/L),8PC3.0 (/L),8PC5.0 (/L),8PC10 (/L),Battery voltage (V),Inlet,Year,Month,Day of Year,Week of Year,Day of Week
2023-02-25 00:30:00,0.6542372881355932,0.9477966101694917,1.313220338983051,1.459322033898305,3137.322033898305,400.10169491525426,116.42372881355932,69.66101694915254,26.47457627118644,5.203389830508475,1.2033898305084745,0.0,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 01:30:00,0.45649999999999996,0.7305000000000003,1.1156666666666664,1.5468333333333328,2062.7166666666667,344.2,109.66666666666667,66.13333333333334,24.5,5.766666666666667,1.5,0.03333333333333333,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 02:30:00,0.491,0.7596666666666663,1.1121666666666665,1.303666666666667,2334.25,326.3333333333333,104.78333333333333,64.78333333333333,25.133333333333333,5.333333333333333,1.2333333333333334,0.0,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 03:30:00,0.4276666666666667,0.6751666666666668,1.0073333333333334,1.1993333333333331,1996.0333333333333,301.03333333333336,98.65,60.016666666666666,22.216666666666665,5.183333333333334,1.2,0.0,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 04:30:00,0.4351666666666667,0.6575000000000001,0.9750000000000001,1.2621666666666675,1999.5833333333333,304.5,89.85,53.43333333333333,19.9,5.016666666666667,1.1166666666666667,0.0,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 05:30:00,0.45283333333333337,0.6449999999999998,0.8414999999999999,0.937333333333333,2066.8,301.65,79.45,44.083333333333336,14.95,3.0,0.55,0.03333333333333333,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 06:30:00,0.43300000000000005,0.6504999999999999,0.9035,1.1431666666666662,1897.95,324.98333333333335,88.46666666666667,51.016666666666666,19.3,4.15,0.6833333333333333,0.0,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 07:30:00,1.5010000000000001,3.050000000000001,5.157666666666668,6.259000000000001,6630.483333333334,1436.45,588.55,382.98333333333335,153.48333333333332,32.2,7.133333333333334,0.23333333333333334,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 08:30:00,0.8814999999999998,2.419333333333333,5.914166666666665,8.836000000000002,3967.3,1088.7166666666667,562.7666666666667,416.6166666666667,207.86666666666667,55.86666666666667,13.783333333333333,0.8833333333333333,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 09:30:00,0.6696666666666664,1.4228333333333336,2.6375000000000006,3.1883333333333335,2924.616666666667,674.85,282.21666666666664,191.63333333333333,85.86666666666666,19.35,4.066666666666666,0.11666666666666667,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 10:30:00,1.0904999999999998,1.8848333333333336,3.3751666666666664,4.501333333333333,5130.316666666667,821.4166666666666,299.43333333333334,207.71666666666667,96.66666666666667,24.983333333333334,5.15,0.23333333333333334,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 11:30:00,0.4213333333333334,0.6694999999999993,1.2538333333333334,2.1638333333333333,1887.45,323.25,99.3,64.55,30.633333333333333,9.266666666666667,2.6166666666666667,0.2833333333333333,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 12:30:00,0.357,0.6736666666666667,1.648,2.796833333333334,1596.0666666666666,321.43333333333334,123.5,87.76666666666667,46.916666666666664,15.383333333333333,4.45,0.25,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 13:30:00,0.4405000000000001,1.2763333333333333,4.245333333333333,10.256166666666669,1822.15,633.8166666666667,319.8,240.15,133.98333333333332,45.266666666666666,15.566666666666666,2.0,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 14:30:00,1.2458333333333336,3.903166666666667,8.106500000000002,10.933,4212.35,2119.766666666667,992.4333333333333,675.9833333333333,293.7,66.18333333333334,14.683333333333334,0.85,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 15:30:00,1.579333333333334,4.837166666666665,9.149666666666663,11.927333333333333,5168.466666666666,2677.85,1214.2666666666667,812.4166666666666,332.3666666666667,66.66666666666667,14.016666666666667,0.9166666666666666,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 16:30:00,0.6880000000000001,2.206000000000001,5.9526666666666666,10.4795,2588.5666666666666,1135.55,572.55,411.4,202.08333333333334,58.9,16.433333333333334,1.5666666666666667,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 17:30:00,0.5311666666666666,1.7166666666666666,4.623666666666665,8.11983333333333,2007.8833333333334,875.9,442.5,320.68333333333334,158.66666666666666,44.88333333333333,12.983333333333333,1.0833333333333333,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 18:30:00,0.5261666666666669,1.795833333333333,4.6339999999999995,7.938666666666668,1967.2833333333333,910.45,472.78333333333336,338.71666666666664,164.23333333333332,43.983333333333334,12.066666666666666,1.0666666666666667,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 19:30:00,0.3083333333333334,0.8594999999999999,2.1651666666666665,3.3614999999999995,1190.9333333333334,444.93333333333334,210.48333333333332,146.5,68.86666666666666,19.666666666666668,5.833333333333333,0.23333333333333334,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 20:30:00,0.18799999999999997,0.5121666666666669,1.490333333333333,2.4961666666666678,764.5666666666667,257.18333333333334,123.61666666666666,89.76666666666667,44.483333333333334,14.233333333333333,4.866666666666666,0.21666666666666667,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 21:30:00,0.1751666666666667,0.32450000000000007,0.6203333333333334,1.0516666666666667,758.2666666666667,160.28333333333333,59.06666666666667,38.416666666666664,16.45,4.733333333333333,1.2833333333333334,0.03333333333333333,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 22:30:00,0.2016666666666666,0.3493333333333333,0.7045,1.326833333333333,888.9833333333333,170.45,58.43333333333333,37.86666666666667,16.733333333333334,4.983333333333333,1.9166666666666667,0.05,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-25 23:30:00,0.23683333333333328,0.7023333333333333,1.9623333333333337,3.2553333333333323,931.2666666666667,357.53333333333336,178.75,126.46666666666667,60.85,18.866666666666667,5.866666666666666,0.4,0.0,Sample,2023.0,2.0,56.0,8.0,5.0
2023-02-26 00:30:00,0.11533333333333333,0.2223333333333333,0.4491666666666666,1.1671666666666665,458.6333333333333,121.83333333333333,44.35,27.133333333333333,10.733333333333333,3.433333333333333,1.1333333333333333,0.18333333333333332,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 01:30:00,0.1946666666666667,0.3721666666666668,0.5749999999999998,0.8146666666666669,736.15,213.7,73.28333333333333,41.4,12.2,2.75,0.8166666666666667,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 02:30:00,0.2120000000000001,0.41350000000000003,0.6869999999999998,0.9261666666666667,811.7333333333333,233.36666666666667,82.88333333333334,47.766666666666666,15.133333333333333,3.683333333333333,1.0333333333333334,0.03333333333333333,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 03:30:00,0.20733333333333345,0.4839999999999999,1.2053333333333331,2.4266666666666667,847.7333333333333,250.2,109.81666666666666,73.35,33.11666666666667,10.783333333333333,3.55,0.4166666666666667,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 04:30:00,0.23216666666666677,0.47183333333333344,0.7721666666666667,1.1318333333333335,914.6666666666666,255.51666666666668,94.98333333333333,57.56666666666667,18.433333333333334,4.116666666666666,1.3166666666666667,0.06666666666666667,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 05:30:00,0.23100000000000026,0.4795,0.7286666666666669,0.8243333333333339,894.95,260.6333333333333,98.31666666666666,58.45,17.916666666666668,3.25,0.8833333333333333,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 06:30:00,0.2568333333333331,0.5801666666666666,0.9176666666666665,1.1090000000000002,996.75,309.15,125.25,77.18333333333334,26.233333333333334,5.116666666666666,0.9666666666666667,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 07:30:00,0.21799999999999986,0.5351666666666667,0.8798333333333336,1.1195,844.3666666666667,279.28333333333336,119.75,77.18333333333334,26.6,4.95,1.05,0.016666666666666666,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 08:30:00,1.006,1.3114999999999999,1.584666666666667,1.6805,5103.016666666666,477.25,124.03333333333333,69.98333333333333,23.216666666666665,4.383333333333334,0.6333333333333333,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
2023-02-26 09:30:00,0.32883333333333326,0.7548333333333334,1.2800000000000002,1.758333333333333,1399.7,364.6,161.43333333333334,104.48333333333333,39.483333333333334,7.65,1.9,0.0,0.0,Sample,2023.0,2.0,57.0,8.0,6.0
